epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,761.695,1.2684,0.76379,1.30066,0.74833,0.71429,0.72952,0.2729,2.4139,1.06579,2.29665,0.0007592,0.0007592,0.0007592
96,769.682,1.25748,0.75422,1.27097,0.80262,0.75521,0.7421,0.27931,2.44214,1.02529,2.42916,0.000746,0.000746,0.000746
97,777.724,1.23266,0.7302,1.29148,0.76001,0.77143,0.75444,0.28238,2.38107,1.01103,2.32043,0.0007328,0.0007328,0.0007328
98,785.719,1.22737,0.73476,1.24614,0.82749,0.71429,0.75731,0.26485,2.39956,1.09766,2.29499,0.0007196,0.0007196,0.0007196
99,793.647,1.2337,0.70608,1.23993,0.73626,0.71788,0.72897,0.27362,2.36601,1.13134,2.29817,0.0007064,0.0007064,0.0007064
100,801.588,1.24841,0.73252,1.2602,0.84715,0.71263,0.80378,0.30395,2.33416,1.04471,2.29037,0.0006932,0.0006932,0.0006932
101,809.554,1.20928,0.72475,1.2437,0.89585,0.67143,0.77062,0.2946,2.33639,1.08296,2.28239,0.00068,0.00068,0.00068
102,817.483,1.21049,0.71223,1.22846,0.72525,0.71429,0.72868,0.27843,2.33374,1.11555,2.28796,0.0006668,0.0006668,0.0006668
103,825.484,1.20818,0.71964,1.24701,0.73281,0.74286,0.74084,0.27338,2.3051,1.12447,2.23935,0.0006536,0.0006536,0.0006536
104,833.477,1.18763,0.70088,1.22409,0.78186,0.6657,0.68785,0.27272,2.33062,1.18395,2.2845,0.0006404,0.0006404,0.0006404
105,841.474,1.16684,0.68475,1.23262,0.82713,0.68357,0.735,0.27324,2.37776,1.25112,2.33919,0.0006272,0.0006272,0.0006272
106,849.404,1.18023,0.69128,1.22161,0.90018,0.65714,0.7594,0.28085,2.32856,1.17125,2.2843,0.000614,0.000614,0.000614
107,857.29,1.18633,0.697,1.22075,0.82238,0.72759,0.74253,0.27639,2.30931,1.1373,2.33501,0.0006008,0.0006008,0.0006008
108,865.204,1.13887,0.67896,1.20827,0.81337,0.74718,0.73463,0.27965,2.32368,1.10973,2.3013,0.0005876,0.0005876,0.0005876
109,873.125,1.14334,0.70153,1.21214,0.84253,0.68796,0.74691,0.27271,2.31843,1.14148,2.28808,0.0005744,0.0005744,0.0005744
110,881.069,1.10342,0.66929,1.20709,0.79055,0.72857,0.75121,0.29021,2.28699,1.14594,2.27802,0.0005612,0.0005612,0.0005612
111,889.103,1.13387,0.67715,1.21766,0.76872,0.71429,0.72894,0.29086,2.2426,1.19661,2.26176,0.000548,0.000548,0.000548
112,897.067,1.129,0.68244,1.216,0.75594,0.67143,0.6954,0.28452,2.23495,1.16228,2.23665,0.0005348,0.0005348,0.0005348
113,905.214,1.11181,0.67178,1.19766,0.79126,0.64987,0.70717,0.28395,2.2728,1.1743,2.36476,0.0005216,0.0005216,0.0005216
114,913.316,1.1125,0.66742,1.20324,0.89386,0.64286,0.75258,0.29074,2.25395,1.13409,2.33813,0.0005084,0.0005084,0.0005084
115,921.354,1.12891,0.66832,1.18151,0.80018,0.64286,0.70041,0.28247,2.23838,1.12112,2.30531,0.0004952,0.0004952,0.0004952
116,929.417,1.09892,0.648,1.17652,0.75786,0.68571,0.70082,0.28998,2.26941,1.09781,2.34124,0.000482,0.000482,0.000482
117,937.505,1.07221,0.64607,1.17138,0.8466,0.65714,0.72597,0.28094,2.28084,1.13235,2.33564,0.0004688,0.0004688,0.0004688
